id,name,credits,college,prereqs,subject,department
ANTH 197TP,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197XX,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197XY,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197XZ,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197ZZ,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 198,Independent Readings in Anthropology,15,College of Letters and Science,,ANTH,Anthropology
ANTH 199,Independent Studies in Anthropology,12,College of Letters and Science,,ANTH,Anthropology
ANTH 199RA,Undergraduate Research Assistance Training in Anthropology,12,College of Letters and Science,,ANTH,Anthropology
ANTH 2,Introductory Cultural Anthropology,5,College of Letters and Science,,ANTH,Anthropology
ANTH 201A,Classical Archaeological Theory,4,College of Letters and Science,,ANTH,Anthropology
ANTH 201B,Contemporary Archaeology Theory,4,College of Letters and Science,,ANTH,Anthropology
ANTH 202,Advanced Topics in Primatology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 203,"Race, Racism, and Anti-racism in Anthropology",4,College of Letters and Science,,ANTH,Anthropology
ANTH 205,Ethics and the Profession of Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206AV,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206DJ,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206DK,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206GA,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206GW,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206KS,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206LG,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206SM,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 206SS,Current Problems in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 207,Problems in Hunter-Gatherer Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 208,Anthropological Political Economy,4,College of Letters and Science,,ANTH,Anthropology
ANTH 209,Applying Evolutionary Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 210,Basic Issues in Physical Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 211,"Religion and Ethnography: Theory, Praxis, Experience",4,College of Letters and Science,,ANTH,Anthropology
ANTH 213,The Archaeology of Gender,4,College of Letters and Science,,ANTH,Anthropology
ANTH 214,The Origins and Intensification of Agriculture,4,College of Letters and Science,,ANTH,Anthropology
ANTH 215,Resource Intensification,4,College of Letters and Science,,ANTH,Anthropology
ANTH 218,Problems in Andean Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 219,Anthropology and Risk,4,College of Letters and Science,,ANTH,Anthropology
ANTH 222,Ethnicity and Race in the Americas,4,College of Letters and Science,,ANTH,Anthropology
ANTH 226,"Religion, Media, and Culture",4,College of Letters and Science,,ANTH,Anthropology
ANTH 228,Culture and Spatial Practice,4,College of Letters and Science,,ANTH,Anthropology
ANTH 232,Graduate Proseminar,1,College of Letters and Science,,ANTH,Anthropology
ANTH 233,Liberalism and War,4,College of Letters and Science,,ANTH,Anthropology
ANTH 234,Advanced Theory and Method in Evolutionary Psychology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 235A,Foundations of Modern Social Theory,4,College of Letters and Science,,ANTH,Anthropology
ANTH 235B,Issues in Contemporary Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 236,Graduate Seminar in Evolution of Religion,4,College of Letters and Science,,ANTH,Anthropology
ANTH 239A,Research Design and Writing in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 240A,Research Methods in Cultural Anthropology,4,College of Letters and Science,,ANTH,Anthropology
